flowID,timePacketReceived,numPackets
1,2.19283,26
2,2.19798,51
3,2.19927,74
1,2.39368,52
2,2.39883,103
3,2.39755,151
1,2.59582,78
2,2.59968,155
3,2.5984,229
1,2.79538,104
2,2.79796,206
3,2.79925,307
1,2.99623,130
2,2.99881,258
3,2.99752,384
1,3.19708,156
2,3.19966,310
3,3.19837,462
1,3.39793,182
2,3.39536,361
3,3.39922,540
1,3.59106,207
2,3.59621,413
3,3.59878,618
1,3.79963,234
2,3.79706,465
3,3.79835,695
1,3.99276,259
2,3.99791,517
3,3.9992,773
1,4.19361,285
2,4.19876,569
3,4.19747,850
1,4.39446,311
2,4.39961,621
3,4.39832,928
1,4.59531,337
2,4.59788,672
3,4.59917,1006
1,4.79616,363
2,4.79873,724
3,4.79745,1083
1,4.99701,389
2,4.99958,776
3,4.9983,1161
1,5.19786,415
2,5.19528,827
3,5.19915,1239
1,5.39871,441
2,5.39613,879
3,5.4,1317
1,5.59956,467
2,5.59698,931
3,5.59827,1394
1,5.79268,492
2,5.79783,983
3,5.79912,1472
1,5.99482,518
2,5.99868,1035
3,5.99997,1550
1,6.19438,544
2,6.19953,1087
3,6.19825,1627
1,6.39523,570
2,6.39781,1138
3,6.3991,1705
1,6.59608,596
2,6.59866,1190
3,6.59995,1783
1,6.79693,622
2,6.79951,1242
3,6.79822,1860
1,6.99907,648
2,6.99521,1293
3,6.99778,1938
1,7.19863,674
2,7.19606,1345
3,7.19992,2016
1,7.39948,700
2,7.39691,1397
3,7.3982,2093
1,7.59261,725
2,7.59776,1449
3,7.59905,2171
1,7.79346,751
2,7.79861,1501
3,7.7999,2249
1,7.99431,777
2,7.99946,1553
3,7.99817,2326
1,8.19516,803
2,8.19773,1604
3,8.19902,2404
1,8.39601,829
2,8.39858,1656
3,8.39987,2482
1,8.59686,855
2,8.59943,1708
3,8.59815,2559
1,8.79771,881
2,8.79513,1759
3,8.799,2637
1,8.99856,907
2,8.99598,1811
3,8.99985,2715
1,9.19941,933
2,9.19683,1863
3,9.19812,2792
1,9.39382,958
2,9.39768,1915
3,9.39897,2870
1,9.59338,984
2,9.59853,1967
3,9.59982,2948
1,9.79938,1019
2,9.7981,2035
3,9.73372,3000
1,9.99637,1070
2,9.99895,2139
3,9.73372,3000
1,10.1972,1122
2,10.1998,2243
3,9.73372,3000
1,10.3981,1174
2,10.3994,2346
3,9.73372,3000
1,10.5989,1226
2,10.5976,2449
3,9.73372,3000
1,10.7998,1278
2,10.7985,2553
3,9.73372,3000
1,10.9968,1329
2,10.9993,2657
3,9.73372,3000
1,11.1976,1381
2,11.1989,2760
3,9.73372,3000
1,11.3985,1433
2,11.3997,2864
3,9.73372,3000
1,11.5993,1485
2,11.598,2967
3,9.73372,3000
1,11.7989,1607
2,11.6624,3000
3,9.73372,3000
1,11.9997,1763
2,11.6624,3000
3,9.73372,3000
1,12.1993,1918
2,11.6624,3000
3,9.73372,3000
1,12.3988,2073
2,11.6624,3000
3,9.73372,3000
1,12.5997,2229
2,11.6624,3000
3,9.73372,3000
1,12.7993,2384
2,11.6624,3000
3,9.73372,3000
1,12.9988,2539
2,11.6624,3000
3,9.73372,3000
1,13.1997,2695
2,11.6624,3000
3,9.73372,3000
1,13.3992,2850
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
1,13.5924,3000
2,11.6624,3000
3,9.73372,3000
